,sql,excel,access,python,java,hadoop,tableau,matlab,spark,microsoft,oracl,vba,hive,spss,mysql,pig,stata,sqlserver,r,sas,degree,year_group
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
4,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,phd,3-5
5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,bachelor,less than 2
6,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,phd,less than 2
7,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,greater than 5
8,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
9,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,master,less than 2
10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,phd,less than 2
11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
14,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
15,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,phd,less than 2
17,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,phd,less than 2
18,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,phd,3-5
19,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,phd,less than 2
20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,phd,less than 2
21,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,phd,less than 2
22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
24,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
25,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bachelor,less than 2
27,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,master,less than 2
29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
30,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bachelor,less than 2
31,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,bachelor,less than 2
32,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
33,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,phd,less than 2
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
37,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
38,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
39,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,master,less than 2
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
41,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
42,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,phd,less than 2
43,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
44,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,bachelor,less than 2
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
46,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,phd,greater than 5
47,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,bachelor,less than 2
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
50,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
51,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
52,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,phd,less than 2
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,phd,less than 2
58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,3-5
59,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
62,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
63,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,phd,less than 2
65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
66,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
